Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
330,482.400,2.073,0.314,0.728,1.343,3.075,3.915,5.264,7.750,26.116,0.482
335,520.000,1.922,0.323,0.717,1.255,2.867,3.685,3.960,6.911,8.409,0.520
340,514.800,1.940,0.308,0.716,1.286,2.846,3.663,4.000,6.999,20.161,0.515
345,501.400,1.995,0.318,0.715,1.371,2.947,3.758,4.680,7.124,26.184,0.501
350,467.800,2.136,0.327,0.726,1.652,3.059,3.990,6.334,8.183,18.531,0.468
355,520.800,1.918,0.315,0.704,1.189,2.805,3.637,4.020,6.894,23.648,0.521
360,501.000,1.994,0.349,0.744,1.317,3.027,3.817,4.149,7.160,9.755,0.502
365,481.000,2.078,0.350,0.761,1.093,3.082,4.038,4.876,7.358,24.397,0.481
370,518.800,1.924,0.321,0.696,1.202,2.829,3.752,6.258,6.812,11.010,0.520
375,519.000,1.926,0.327,0.702,1.147,2.923,3.684,4.008,6.897,26.798,0.519
380,496.400,2.012,0.324,0.716,1.346,3.020,3.870,4.692,8.039,11.429,0.497
385,510.400,1.958,0.321,0.700,1.598,2.967,3.677,4.246,6.869,18.882,0.511
390,521.600,1.914,0.314,0.701,1.348,2.854,3.664,3.978,6.848,8.540,0.522
395,511.200,1.955,0.332,0.710,1.319,2.940,3.709,4.052,6.959,23.392,0.511
400,484.000,2.064,0.321,0.721,1.767,3.081,3.856,4.735,7.301,29.531,0.485
405,481.200,2.078,0.343,0.742,1.405,3.100,3.974,4.609,7.521,25.191,0.481
410,521.400,1.916,0.325,0.714,1.282,2.843,3.700,4.001,6.986,23.005,0.522
415,512.000,1.953,0.332,0.729,1.230,2.885,3.723,4.077,7.233,12.664,0.512
420,502.800,1.986,0.327,0.720,1.362,3.042,3.798,4.419,6.979,9.012,0.504
425,521.800,1.914,0.310,0.694,1.328,2.945,3.617,3.944,6.771,8.264,0.522
430,449.400,2.224,0.319,0.750,1.567,3.217,4.372,6.147,8.401,16.428,0.450
435,518.600,1.927,0.331,0.716,1.182,2.906,3.754,4.083,6.894,11.849,0.519
440,516.600,1.934,0.323,0.709,1.331,2.868,3.654,3.967,6.864,8.289,0.517
445,517.800,1.931,0.320,0.709,1.338,2.874,3.682,3.988,6.855,8.716,0.518
450,522.400,1.913,0.323,0.704,1.301,2.971,3.665,3.971,6.883,8.274,0.523
455,517.200,1.932,0.307,0.710,1.219,2.834,3.746,4.219,6.921,8.242,0.518
460,520.600,1.919,0.309,0.706,1.079,2.833,3.774,4.406,6.866,14.106,0.521
465,521.800,1.915,0.320,0.712,1.164,2.938,3.650,3.979,7.037,11.455,0.522
470,511.400,1.954,0.325,0.717,1.262,2.969,3.663,4.039,6.733,29.551,0.512
475,512.600,1.949,0.318,0.721,1.219,2.901,3.703,4.039,6.868,10.529,0.513
480,501.600,1.992,0.317,0.723,1.761,3.041,3.689,4.079,6.873,10.659,0.502
485,509.600,1.961,0.318,0.723,1.282,2.986,3.744,4.047,6.851,9.541,0.510
490,516.200,1.936,0.314,0.721,1.276,2.978,3.678,3.969,6.904,8.429,0.517
495,514.000,1.943,0.328,0.726,1.156,2.899,3.715,4.313,6.950,9.438,0.515
500,487.200,2.053,0.337,0.755,1.307,3.073,3.917,4.311,7.334,8.766,0.487
505,489.000,2.041,0.330,0.756,1.269,3.111,3.914,4.322,7.425,9.054,0.490
510,521.400,1.916,0.316,0.724,1.121,2.819,3.674,3.996,7.296,8.741,0.522
515,502.200,1.989,0.318,0.722,1.231,2.988,3.784,4.323,7.276,13.062,0.503
520,447.600,2.232,0.334,0.767,1.543,3.222,4.292,6.516,8.604,17.412,0.448
525,511.400,1.954,0.330,0.724,1.212,2.949,3.737,4.077,7.242,10.183,0.512
530,511.200,1.955,0.336,0.744,1.144,2.933,3.762,4.094,7.180,9.107,0.512
535,433.000,2.307,0.329,0.762,1.792,3.262,4.574,6.720,8.585,17.365,0.433
540,494.800,2.019,0.316,0.734,1.197,3.044,3.841,4.490,7.303,24.903,0.495
545,485.000,2.061,0.330,0.737,1.556,3.089,3.837,4.672,8.183,9.464,0.485
550,443.600,2.253,0.316,0.744,1.574,3.168,4.542,6.863,8.726,16.910,0.444
555,420.000,2.380,0.344,0.833,1.640,3.375,4.778,6.718,8.949,16.192,0.420
560,514.600,1.943,0.324,0.729,1.296,2.925,3.671,3.993,6.964,7.840,0.515
565,525.400,1.900,0.323,0.723,1.097,2.851,3.676,3.979,6.885,8.215,0.526
570,500.000,1.998,0.318,0.725,1.249,3.068,3.839,4.481,6.938,10.257,0.500
575,500.000,1.999,0.324,0.732,1.230,3.076,3.837,4.608,7.067,8.772,0.500
580,488.400,2.048,0.323,0.715,1.610,2.941,3.793,6.360,7.098,16.401,0.488
585,477.800,2.091,0.324,0.752,1.400,3.084,3.980,5.199,7.599,12.441,0.478
590,506.600,1.972,0.329,0.736,1.302,2.956,3.750,4.394,7.010,9.598,0.507
595,541.800,1.845,0.313,0.714,1.105,2.779,3.589,3.906,6.718,7.640,0.542
600,514.400,1.943,0.327,0.711,1.175,2.978,3.698,4.204,6.840,9.695,0.515
605,500.600,1.996,0.327,0.735,1.801,2.994,3.748,4.074,7.026,12.516,0.501
610,546.600,1.828,0.302,0.691,1.064,2.755,3.525,3.839,6.704,10.490,0.547
615,464.200,2.154,0.319,0.737,1.628,3.123,4.107,5.564,8.518,22.664,0.464
620,504.400,1.980,0.313,0.715,1.251,2.972,3.797,4.472,7.128,8.808,0.505
625,519.800,1.922,0.297,0.698,1.371,2.894,3.591,4.453,6.729,8.205,0.520
630,535.000,1.868,0.288,0.699,1.108,2.897,3.588,3.875,6.729,7.243,0.535
635,429.800,2.325,0.290,0.815,1.667,3.210,4.595,6.632,8.808,16.709,0.430
640,529.200,1.888,0.319,0.696,1.270,2.884,3.552,3.904,6.795,11.786,0.530
645,490.000,2.040,0.314,0.730,1.708,3.009,3.811,5.208,7.211,10.808,0.490
650,552.800,1.808,0.296,0.683,0.923,2.736,3.512,3.855,6.635,8.083,0.553
655,539.800,1.851,0.315,0.687,1.131,2.764,3.532,3.852,6.661,8.261,0.540
660,477.400,2.093,0.303,0.698,1.554,3.001,3.940,6.440,7.828,17.448,0.478
665,463.800,2.154,0.309,0.840,1.444,3.200,4.250,4.898,8.617,9.033,0.464
670,539.800,1.851,0.296,0.680,1.141,2.803,3.539,3.868,6.639,7.927,0.540
675,537.800,1.858,0.287,0.682,1.150,2.747,3.550,3.831,6.633,9.329,0.538
680,528.200,1.892,0.293,0.682,1.732,2.919,3.540,3.845,6.621,8.548,0.529
685,534.200,1.871,0.306,0.681,1.704,2.791,3.521,3.823,6.695,13.303,0.534
690,542.200,1.842,0.304,0.677,1.040,2.735,3.549,4.391,6.619,6.924,0.543
695,513.400,1.947,0.304,0.688,1.493,2.882,3.715,5.720,6.754,16.107,0.514
700,498.400,2.005,0.310,0.698,1.522,2.977,3.754,6.321,6.998,15.744,0.499
